功能名,Function name,register address,Decimal,fields,type,accuracy,units,min,max,Properties,说明,Description,Confidential,Mask computation,,Support single register read,Support single register write,Register linking is supported,Register concatenation is supported,备注(Remarks),Remarks
,,1334-133F,,,,,,,,,预留,Reserved,,,,,,,,,
,,1340 -- 1343,,AddressMask_Config_ReadOnly_Result2,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for the 64 register address words starting at this address.
Refer to the description of address 0x0040",,00000000,0000000F,,,,,此块区域只支持固定首地址读取一块区域的数据,This block only supports reading data from one block with a fixed first address
IV曲线扫描,IV curve scanning,1344 -- 137E,,IVCurve_Voltage1 -- 30,U16,0.1,V,,,R,IV曲线扫描电压1-30。,IV curve scan voltage 1-30.,,,,,,,,间隔2个地址,2 addresses apart
,,1345 -- 137F,,IVCurve_Current1 -- 30,U16,0.01,A,,,R,IV曲线扫描电流1-30。,IV curve scan current 1-30.,,,,,,,,间隔2个地址,2 addresses apart
,,1380 -- 1383,,AddressMask_Config_ReadOnly_Result3,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for 64 register address words starting at this address.
Refer to the description of address 0x0040",,00000000,0000000F,,,,,此块区域只支持固定首地址读取一块区域的数据,This area only supports reading data from one area with a fixed first address
IV曲线扫描,IV curve scanning,1384 -- 13BE,,IVCurve_Voltage31 -- 60,U16,0.1,V,,,R,IV曲线扫描电压31-60。,IV curve scan voltage 31-60.,,,,,,,,间隔2个地址,2 addresses apart
,,1385 -- 13BF,,IVCurve_Current31 -- 60 ,U16,0.01,A,,,R,IV曲线扫描电流31-60。,IV curve scan current 31-60.,,,,,,,,间隔2个地址,2 addresses apart
,,13C0 -- 13C3,,AddressMask_Config_ReadOnly_Result4,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for 64 register address words starting at this address.
Refer to the description of address 0x0040",,00000000,0000000F,,,,,此块区域只支持固定首地址读取一块区域的数据,This area only supports reading data from one area with a fixed first address
IV曲线扫描,IV curve scan,13C4 -- 13FE ,,IVCurve_Voltage61 -- 90,U16,0.1,V,,,R,IV曲线扫描电压61-90。,IV curve scan voltage 61-90.,,,,,,,,间隔2个地址,2 addresses apart
,,13C5 -- 13FF,,IVCurve_Current61 -- 90,U16,0.01,A,,,R,IV曲线扫描电流61-90。,IV curve scan current 61-90.,,,,,,,,间隔2个地址,2 addresses apart
,,1400 --1403,,AddressMask_Config_ReadOnly_Result5,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for 64 register address words starting at this address.
Refer to the description of address 0x0040",,00000000,0000000F,,,,,此块区域只支持固定首地址读取一块区域的数据,This area only supports reading data from one area with a fixed first address
IV曲线扫描,IV curve scan,1404 -- 143E,,IVCurve_Voltage91 -- 120,U16,0.1,V,,,R,IV曲线扫描电压91-120。,IV curve scan voltage 91-120.,,,,,,,,间隔2个地址,2 addresses apart
,,1405 -- 143F,,IVCurve_Current91 -- 120,U16,0.01,A,,,R,IV曲线扫描电流91-120。,IV curve scan current 91-120.,,,,,,,,间隔2个地址,2 addresses apart
,,1440 -- 1443,,AddressMask_Config_ReadOnly_Result6,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for 64 register address words starting at this address.
Refer to the description of address 0x0040",,00000000,0000000F,,,,,此块区域只支持固定首地址读取一块区域的数据,This area only supports reading data from one area with a fixed first address
IV曲线扫描,IV curve scan,1444 -- 147E,,IVCurve_Voltage121 -- 150,U16,0.1,V,,,R,IV曲线扫描电压121-150。,IV curve scan voltage 121-150.,,,,,,,,间隔2个地址,2 addresses apart
,,1445 -- 147F,,IVCurve_Current121 -- 150,U16,0.01,A,,,R,IV曲线扫描电流121-150。,IV curve scan current 121-150.,,,,,,,,间隔2个地址,2 addresses apart
历史事件,Historical events,1480 -- 160C,,HistoryEventList_ID1 -- 100,U16,,,,,R,历史事件ID最近第1-100条（100个）。,History Event ID 1st-100th most recent (of 100).,,,,,,,,"每个ID间隔4个地址
读取时，这几个数据构成第1条历史故障信息的ID以及触发时间。范围内单个读取始终会读到事件ID，只有四个寄存器一起读取才能读到完整的数据。
最多一次读取10条历史数据","Each ID is spaced 4 addresses apart
When read, these form the ID of the 1st historical fault message as well as the trigger time. Individual reads within the range will always read the event ID, only four registers read together will read the complete data.
Up to 10 historical reads at a time"
,,1481 -- 160D,,HistoryEventList_yM1 -- 100,U16,,,,,R,"历史事件时间最近第1-100条（100个）。
高字节：年份十进制数低两位；
低字节：月份。","History event time 1st-100th most recent (100).
High byte: year decimal lower two digits;
Low byte: month.",,,,,,,,,
,,1482 -- 160E,,HistoryEventList_dH1 -- 100,U16,,,,,R,"历史事件时间最近第1-100条（100个）。
高字节：日期；
低字节：小时。","Historical event time most recent 1-100th entry (of 100).
High byte: date;
Low byte: hour.",,,,,,,,,
,,1483 -- 160F,,HistoryEventList_ms1 -- 100,U16,,,,,R,"历史事件时间最近第1-100条（100个）。
高字节：分钟；
低字节：秒。","Historical event time most recent 1-100th (of 100).
High byte: minutes;
Low byte: seconds.",,,,,,,,,
历史电能,Historical electricity,1610 -- 165E,,EnergyStatistics1 -- 40,U32,0.01,kWh,,,R,"历史电能统计数据第1-40条（40个）。U32每次间隔2个地址。
对应日期时间参考电能统计回传设置寄存器。","Historical power statistics 1st-40th (of 40). u32 2 addresses per interval.
Corresponding date and time reference to power statistics return setting register.",,,,,,,,"此块区域的读取与地址0x1030到0x1033的设置有关，显示的都是电量数据，读取之前需要先设置0x1030到0x1033的值。
如果是年，那么前12条数据就代表12个月的电量数据。
如果是月，那么前31条数据就代表31天的电量数据。","The reading of this area is related to the setting of addresses 0x1030 to 0x1033, which show all the power data, and the values 0x1030 to 0x1033 need to be set before reading.If it is a year, then the first 12 bars represent 12 months of power data.If it is a month, then the first 31 bars of data represent 31 days of power data."""
,,1611 -- 165F,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
4.4Core function configuration(0x2000-0x207F),,,,,,,,,,,,,,,,,,,,,
,,2000 -- 2003,,AddressMask_Config_Core1,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for the 64 register address words starting at this address.
Refer to the description of address 0x0040",,00000000,0000000F,,,,,用于区分哪些地址有效，哪些地址无效，主要作用就是不同机型使用的寄存器不同，通过掩码做区分。此块区域支持任意读取。,It is used to distinguish which addresses are valid and which are not. The main function is that different models use different registers and are distinguished by a mask. This area can be read at will.
安规国家,Safety countries,2004,,Country_Code,U16,,,,,RW,安规国家，用于存储,Safety regulation country for storing,,,,,,,,写入时，固定的首地址为0x2004，长度为2,"When writing, the first address is fixed at 0x2004 and the length is 2."
安规版本,Safety version,2005,,Safety_Version,U16,,,,,RW,通讯主机（上位机）的安规参数版本号。,version number of the safety parameter of the communication host (upper computer).,,,,,,,,,
恢复出厂设置,Restore factory settings,2006,,Factory_Reset,U16,,,1,255,RW,"恢复出厂寄存器；
位值为1有效。
Bit0：清除电量
Bit1：清除事件记录
Bit2：所有功能配置参数恢复默认值
读取时，返回上次写入操作的状态：
0x0000：成功
0x0001-0x00FF：正在操作
0xFFFB：操作失败，控制器拒绝响应（可能控制器正忙或配置错误）
0xFFFC：操作失败，控制器无应答
0xFFFD：操作失败，当前功能被禁止
0xFFFE：操作失败，参数存取失败
0xFFFF：操作失败，输入参数有误","Restore factory register;
A bit value of 1 is valid.
Bit0: Clears the power level
Bit1: Clears the event log
Bit2: All function configuration parameters return to their default values
When reading, return the status of the last write operation to
0x0000: successful
0x0001-0x00FF: operation in progress
0xFFFB: operation failed, controller refused to respond (possibly controller is busy or misconfigured)
0xFFFC: operation failed, no response from the controller
0xFFFD: operation failed, current function is disabled
0xFFFE: operation failed, parameter access failed
0xFFFF: operation failed, wrong parameter entered",,,,,,,,写入时，固定的首地址为0x2006，长度为1,Write with a fixed first address of 0x2006 and a length of 1
安规国家名称,Safety country name,2007 -- 200B,,Safety_Name1 -- 5,ASCII,,,,,RW,"安规国家名称第1-10位。每个地址表示2位，以下面为例，依次类推。
寄存器0x2007高8位存放安规名称第1位；
寄存器0x2007低8位存放安规名称第2位。","Safety country name bits 1-10. Each address represents 2 bits, take the following as an example and so on.
register 0x2007 high 8 bits holds bit 1 of the safety regulation name;
Register 0x2007 low 8 bits holds the safety regulation name bit 2.",,,,,,,,"此区域内的数据暂时没使用,无意义",The data in this area is not used at the moment and is meaningless
,,200C,,,,,,,,,预留,Reserved,,,,,,,,,
对上通讯协议设置,Pair up communication protocol settings,200D,,Commu_protocol_type,U16,,,,,RW,"协议设置寄存器：
0x0000:modbus_RTU协议；
0x0001:modbus_Korea协议；
0x0002:sofar_sgp_normal标准版协议；
0x0003:sofar_sgp_advance高级版协议；
0x0004:sunspec协议；
0x0005:solarmax协议；","Protocol setting registers:
0x0000:modbus_RTU protocol;
0x0001:modbus_Korea protocol;
0x0002:sofar_sgp_normal standard version protocol;
0x0003:sofar_sgp_advance advanced protocol;
0x0004:sunspec protocol;
0x0005:solarmax protocol;",,,,,,,,,
安规文件包设置,Safety compliance package setup,200E,,Country_Code_flash,U16,,,,,RW,安规标准，用于设置FLASH中的安规文件包,Safety standard for setting the safety package in FLASH,,,,,,,,写入时，固定的首地址为0x200E，长度为2,"When writing, the first address is fixed at 0x200E and the length is 2."
,,200F,,Safety_Version_flash,U16,,,,,RW,FLASH中的安规文件包版本号。,The version number of the safety-compliant file package in FLASH.,,,,,,,,,
,,2010 -- 2033,,,,,,,,,预留,Reserved,,,,,,,,,
"本地和远程
固件升级控制","Local and remote
Firmware Upgrade Control",2034,,Remote_Download_Control_ex,U16,,,,,W,"远程下载控制寄存器扩展。（只支持单个目标操作）
高字节。写入0xA5有效。
低字节包含需要升级的芯片组合，每个位的解释如下：
Bit0：DCDC-ARM；
Bit1：DCDC-DSP；","Remote download control register extension. (only single target operations are supported)
High byte. Writing to 0xA5 is valid.
The low byte contains the combination of chips to be upgraded and each bit is explained as follows:
Bit0: DCDC-ARM;
Bit1: DCDC-DSP;",,,,,,,,"此区域内的数据暂时没使用,无意义",The data in this area is not used at the moment and is meaningless.
,,2035,,Remote_Upgrade_Control_ex,U16,,,,,W,"远程升级控制寄存器扩展。（只支持单个目标操作）
高字节。写入0xA5有效。
低字节包含需要升级的芯片组合，每个位的解释如下：
Bit0：DCDC-ARM；
Bit1：DCDC-DSP；","Remote upgrade control register extension. (only a single target operation is supported)
High byte. Writing to 0xA5 is valid.
The low byte contains the combination of chips to be upgraded and each bit is explained as follows:
Bit0: DCDC-ARM;
Bit1: DCDC-DSP;",,,,,,,,,
,,2036,,Local_Upgrade_Control_ex,U16,,,,,W,"本地升级控制扩展1。
高字节。写入0xA5有效。
低字节包含需要升级的芯片组合，每个位的解释如下：
Bit0：DCDC-ARM；
Bit1：DCDC-DSP；","Local upgrade control extension 1.
High byte. Writing to 0xA5 is valid.
The low byte contains the combination of chips to be upgraded and each bit is explained as follows:
Bit0: DCDC-ARM;
Bit1: DCDC-DSP;",,,,,,,,,
,,2037,,Local_Upgrade_Control2,U16,,,,,W,"本地升级控制扩展2。
高字节。写入0xA5有效。
低字节包含需要升级的文件类型，目前定义如下：
0x00：APP；
0x01：CORE；
0x02：预留；
0x03：预留；
0x04：安规文件；","Local upgrade control extension 2.
High byte. Writing to 0xA5 is valid.
The low byte contains the type of file to be upgraded and is currently defined as follows:
0x00: APP;
0x01: CORE;
0x02: reserved;
0x03: reserved;
0x04: safety file;",,,,,,,,写入时，固定的首地址为0x2037，长度为1,Write with a fixed first address of 0x2037 and a length of 1
,,2038,,Local_Upgrade_Status2,U16,,,,,R,"当前升级进度
高字节表示当前升级的目标文件类型：
0x00：APP；
0x01：CORE；
0x02：安规文件；
低字节表示当前升级进度：进度范围0-100%；","Current upgrade progress
The high byte indicates the type of target file currently being upgraded:
0x00: APP;
0x01: CORE;
0x02: safety-compliant file;
The low byte indicates the current upgrade progress: progress range 0-100%;",,,,,,,,,
,,2039,,Upgrade_Total,U16,,,,,R,"升级目标总数。
当使用同一固件对一个或多个目标同时升级时，该寄存器的值表示升级目标的总数量。","Total number of upgrade targets.
When upgrading one or more targets simultaneously using the same firmware, the value of this register indicates the total number of upgrade targets.",,,,,,,,,
,,203A,,Upgrade_Result_Table1,U16,,,,,R,"升级结果bit表1。
bit值为0表示升级未完成或失败；
bit值为1表示升级成功。
最低位表示编号为1的升级目标。最高位表示编号为16的升级目标。","Upgrade result bit table 1.
A bit value of 0 indicates an incomplete or failed upgrade;
A bit value of 1 indicates a successful upgrade.
The lowest bit indicates an upgrade target numbered 1. The highest bit indicates an upgrade target numbered 16.",,,,,,,,,
,,203B,,Upgrade_Result_Table2,U16,,,,,R,"升级结果bit表2。
bit值为0表示升级未完成或失败；
bit值为1表示升级成功。
最低位表示编号为17的升级目标。最高位表示编号为32的升级目标。","Upgrade result bit table 2.
A bit value of 0 indicates an incomplete or failed upgrade;
A bit value of 1 indicates a successful upgrade.
The lowest bit indicates an upgrade target numbered 17. The highest bit indicates the upgrade target numbered 32.",,,,,,,,,
,,203C,,Remote_Download_Control,U16,,,,,W,"远程下载控制寄存器。（只支持单个目标操作）
","Remote Download Control Register. (Only single target operations are supported)
",,,,,,,,"高字节。写入0xA5有效。
低字节包含需要升级的芯片组合，每个位的解释如下：
Bit0：通讯板；
Bit1：控制板1（主DSP）；
Bit2：控制板2（副DSP）；
Bit3：Fuse；
Bit4：BMS；
Bit5：PCU；
Bit6：BDU；
Bit7：AFCI；","High byte. Writing to 0xA5 is valid.
The low byte contains the combination of chips to be upgraded and each bit is explained as follows:
Bit0: communication board;
Bit1: control board 1 (main DSP);
Bit2: control board 2 (sub-DSP);
Bit3: Fuse;
Bit4: BMS;
Bit5: PCU;
Bit6: BDU; Bit6: BDU;
Bit7: AFCI;"
,,203D,,Remote_Upgrade_Control,U16,,,,,W,"远程升级控制寄存器。
高字节：
单个BIN文件升级写入0xA5
sofar打包文件写入0x80
低字节：
低字节包含需要升级的芯片组合，参考《芯片角色和文件类型编码》文档，如果是sofar文件固定写入0xFF","Remote Upgrade Control Register.
High Byte:
Single BIN file upgrade writes 0xA5
sofar packaged files are written to 0x80
Low byte:
The low byte contains the combination of chips to be upgraded, refer to the document Chip Roles and File Type Codes"", if it is a sofar file fixed write 0xFF""",,,,,,,,,
,,203E,,Local_Upgrade_Control,U16,,,,,W,"本地升级控制寄存器。（只支持单个目标操作），写入时，固定的首地址为0x203E，长度为1
","Local Upgrade Control Register. (only single target operations are supported), written with a fixed first address of 0x203E and a length of 1
",,,,,,,,,
,,203F,,Local_Upgrade_Status,U16,,,,,R,"当前升级进度
高字节表示当前升级的目标芯片：
0x00：不在升级状态；
0x01：主DSP升级；
0x02：副DSP升级；
0x03：ARM升级；
0x04：FUSE升级；
0x05：BMS升级；
0x06：PCU升级；
0x07：BDU升级；
0x28：DC/DC ARM升级；
0x29：DC/DC DSP升级；
0x42: AFCI升级
后续参考SVN《芯片角色和文件类型编码》
低字节表示当前升级进度：进度范围0-100%；","Current upgrade progress
The high byte indicates the current upgrade target chip:
0x00: not in upgrade status;
0x01: primary DSP upgrade;
0x02: sub-DSP upgrade;
0x03: ARM upgrade;
0x04: FUSE upgrade;
0x05: BMS upgrade;
0x06: PCU upgrade;
0x07: BDU upgrade;
0x28: DC/DC ARM upgrade;
0x29: DC/DC DSP upgrade;
0x42: AFCI upgrade
Refer to SVN Chip Role and File Type Coding"" for follow-up",,,,,,,,当此寄存器有值时，寄存器0x203D或者0x203E一定有一个有值,"When this register has a value, one of registers 0x203D or 0x203E must have a value"
,,2040-2045,,Upgrade_Time,U16,,,,,RW,"定时升级时间
寄存器0x2040:定时升级时间-年
寄存器0x2041:定时升级时间-月
寄存器0x2042:定时升级时间-日
寄存器0x2043:定时升级时间-时
寄存器0x2044:定时升级时间-分
寄存器0x2045:定时升级时间-秒
时间寄存器的值全是0XFF表示取消定时升级","The low byte indicates the current upgrade progress: progress range 0-100%;""",,,,,,,,,
,,2046 ,,Upgrade_Result,U16,,,,,R,"升级结果
Bit0-Bit7： 本次升级的设备个数
Bit8-Bit15：本次升级结果是否统计完成
0xA5：结果统计完成
其它值：结果统计中
此字段值为0xA5时读取寄存器0x2047的升级结果才有效
此寄存器会在收到升级指令后重置","Timed upgrade time
Register 0x2040: Timed upgrade time - year
Register 0x2041:Timed upgrade time - month
Register 0x2042:Timed upgrade time - day
Register 0x2043:Timed upgrade time - hour
Register 0x2044:Timed upgrade time-minute
Register 0x2045:Timed upgrade time-seconds
The value of the time register is all 0XFF to cancel the timed upgrade",,,,,,,,,
,,2047 ,,Upgrade_Result1,U16,,,,,R,"升级结果
设备升级成功个数
此寄存器会在收到升级指令后重置","Upgrade result
Bit0-Bit7: the number of devices upgraded this time
Bit8-Bit15: whether the result of this upgrade is counted
Bit8-Bit15: whether the result of this upgrade is completed
Other values: results are being counted
The value of this field is 0xA5 when the upgrade result of register 0x2047 is read.
This register will reset after receiving the upgrade command ",,,,,,,,,
,,2048 ,,Upgrade_Result_target,U16,,,,,W,"升级结果查询控制寄存器
APP和监控平台向该寄存器写入要查询的升级对象对应的编码，编码根据《芯片角色和文件类型编码》文档定义的编码为准
写入该寄存器后再从0x2046和0x2047寄存器获取升级结果","Upgrade result
Number of successful device upgrades
This register will be reset after receiving an upgrade command",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
4.5PLC parameter area for power carrier communication(0x2100-0x3100),,,,,,,,,,,,,,,,,,,,,
,,2100 -- 2103,,AddressMask_Plc_Info,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for the 64 register address words starting at this address.
Refer to description of address 0x0040",Installers,00000000,0000000F,,,,,用于区分哪些地址有效，哪些地址无效，主要作用就是不同机型使用的寄存器不同，通过掩码做区分。此块区域支持任意读取。,It is used to distinguish which addresses are valid and which are not. The main function is that different models use different registers and are distinguished by a mask. This area can be read at will.
PLC主要参数设置,Main PLC parameter settings,2104 ,,PLC_Type,U16,1,,,,R,CCO和STA共用属性，PLC类型：隐藏属性，只需要显示数字,"Attribute shared by CCO and STA, PLC type: hidden attribute, only the number needs to be displayed",,,,,,,,,
,,2105 -- 2113,,PLC_Soft_Ver1 -- 15,ASCII,1,,,,R,"CCO和STA共用属性
PLC软件版本最大共30字节，ver1-15","Attribute shared by CCO and STA
PLC software version maximum total 30 bytes, ver1-15",,,,,,,,,
,,2114 ,,PLC_Sta_Net_State,U16,1,,,,R,"STA独有属性
PLC，STA读取网络状态，1-表示已入网，2-表示未入网；CCO读取时返回0","Attributes unique to STA
PLC, STA reads network status, 1- means networked, 2- means not networked; CCO returns 0 when read",,,,,,,,,
,,2115 ,,PLC_Cco_Mac,U16,1,,,,R,"STA独有属性
STA入网后的CCO地址，没有入网时，填全0，CCO设备访问，填全0
PLC的MAC地址共6字节，高2字节
寄存器高8位存放第1字节；
寄存器低8位存放第2字节。","STA unique attribute
CCO address after STA is on the network, fill in all 0s if not on the network, fill in all 0s for CCO device access
The MAC address of the PLC is 6 bytes in total, 2 bytes high
register high 8 bits holds byte 1;
The low 8 bits of the register hold byte 2.",,,,,,,,,
,,2116 ,,,U16,1,,,,R,"PLC的MAC地址共6字节，中2字节
寄存器高8位存放第3字节；
寄存器低8位存放第4字节。","The MAC address of the PLC is 6 bytes in total, the middle 2 bytes
register high 8 bits holds byte 3;
Register low 8 bits holds byte 4.",,,,,,,,,
,,2117 ,,,U16,1,,,,R,"PLC的MAC地址共6字节，低2字节
寄存器高8位存放第5字节；
寄存器低8位存放第6字节。","The MAC address of the PLC totals 6 bytes, low 2 bytes
register high 8 bits holds byte 5;
Register low 8 bits holds byte 6.",,,,,,,,,
,,2118 ,,PLC_Com_Property,U16,1,,,,RW,"CCO和STA共用属性
bit0-bit1:0~1对应 1/1.5
bit2~bit4:0~7对应NONE/odd/EVEN三种校验方式
bit5~bit7 0~1 对应8/9两种数据位长度bit8~15  0~4 对应4800/9600/19200/38400/115200","Attributes shared by CCO and STA
bit0-bit1:0~1 corresponds to 1/1.5
bit2~bit4:0~7 corresponds to NONE/odd/EVEN three kinds of checksum
bit5~bit7 0~1 corresponds to 8/9 two data bit lengths bit8~15 0~4 corresponds to 4800/9600/19200/38400/115200",,,,,,,,,
,,2119 ,,PLC_Mac_Addr,U16,1,,,,RW,"CCO和STA共用属性
PLC的MAC地址共6字节，高2字节
寄存器高8位存放第1字节；
寄存器低8位存放第2字节。","CCO and STA shared attributes
MAC address of PLC is 6 bytes in total, high 2 bytes
The high 8 bits of the register hold the 1st byte;
The low 8 bits of the register hold byte 2.",,,,,,,,,
,,211A,,,U16,1,,,,RW,"PLC的MAC地址共6字节，中2字节
寄存器高8位存放第3字节；
寄存器低8位存放第4字节。","The MAC address of the PLC has a total of 6 bytes, 2 bytes in the middle
register high 8 bits holds byte 3;
Register low 8 bits holds byte 4.",,,,,,,,,
,,211B,,,U16,1,,,,RW,"PLC的MAC地址共6字节，低2字节
寄存器高8位存放第5字节；
寄存器低8位存放第6字节。","The MAC address of the PLC totals 6 bytes, low 2 bytes
register high 8 bits holds byte 5;
Register low 8 bits holds byte 6.",,,,,,,,,
,,211C,,PLC_BandChnl,U16,1,,,,R(W),"CCO和STA共用属性，STA只读，CCO可读写
频段信息5个值，枚举：1/4/5/7/8","CCO and STA share attributes, STA is read-only, CCO can read and write
Band information 5 values, enumerated: 1/4/5/7/8",,,,,,,,,
,,211D,,PLC_TxPower,U16,1,,,,RW,"CCO和STA共用属性
发射功率
高8位表示模拟功率，范围：0-10
低8位表示数字功率，范围：0-55(实际使用时减去40)","Attributes shared between CCO and STA
Transmit power
High 8 bits indicate analogue power, range: 0-10
Low 8 bits indicate digital power, range: 0-55 (minus 40 for actual use)",,,,,,,,,
,,211E,,PLC_Whitelist_ExeType,U16,1,,,,RW,"CCO独有属性
白名单操作类型,只写寄存器，读取时返回0
1-删除全部白名单；2-删除列表白名单；3-写入列表白名单；4-读取白名单（用于定义下次读取白名单的起始编号和数量）","CCO unique attribute
Whitelist operation type, write register only, returns 0 when read
1 - delete all whitelist; 2 - delete list whitelist; 3 - write list whitelist; 4 - read whitelist (used to define the starting number and number of the next whitelist read)",,,,,,,,,
,,211F,,PLC_WhitelistCount,U16,1,,,,RW,"CCO独有属性
白名单总数量，最大30个","CCO unique attributes
Total number of whitelists, max 30",,,,,,,,,
,,2120 ,,PLC_Whitelist_StartAndCount,U16,1,,,,RW,"CCO独有属性
白名单操作开始编号和数量
高8位表示开始编号，范围1-30
低8位表示操作数量，范围1-5","CCO unique attributes
Start number and number of whitelist operations
The high 8 bits indicate the start number, in the range 1-30
The lower 8 bits indicate the number of operations, in the range 1-5",,,,,,,,,
PLC白名单,PLC Whitelist,2121 ,,PLC_Whitelist0,U16,1,,,,RW,"CCO独有属性
白名单0，高2字节","CCO unique attribute
Whitelist 0, high 2 bytes",,,,,,,,,
,,2122 ,,,U16,1,,,,RW,白名单0，中2字节,"Whitelist 0, middle 2 bytes",,,,,,,,,
,,2123 ,,,U16,1,,,,RW,白名单0，低2字节,"Whitelist 0, low 2 bytes",,,,,,,,,
,,2124 ,,PLC_Whitelist1,U16,1,,,,RW,白名单1，高2字节,"Whitelist 1, high 2 bytes",,,,,,,,,
,,2125 ,,,U16,1,,,,RW,白名单1，中2字节,"Whitelist 1, middle 2 bytes",,,,,,,,,
,,2126 ,,,U16,1,,,,RW,白名单1，低2字节,"Whitelist 1, low 2 bytes",,,,,,,,,
,,2127 ,,PLC_Whitelist2,U16,1,,,,RW,白名单2，高2字节,"Whitelist 2, high 2 bytes",,,,,,,,,
,,2128 ,,,U16,1,,,,RW,白名单2，中2字节,"Whitelist 2, middle 2 bytes",,,,,,,,,
,,2129 ,,,U16,1,,,,RW,白名单2，低2字节,"Whitelist 2, low 2 bytes",,,,,,,,,
,,212A,,PLC_Whitelist3,U16,1,,,,RW,白名单3，高2字节,"Whitelist 3, high 2 bytes",,,,,,,,,
,,212B,,,U16,1,,,,RW,白名单3，中2字节,"Whitelist 3, middle 2 bytes",,,,,,,,,
,,212C,,,U16,1,,,,RW,白名单3，低2字节,"Whitelist 3, low 2 bytes",,,,,,,,,
,,212D,,PLC_Whitelist4,U16,1,,,,RW,白名单4，高2字节,"Whitelist 4, high 2 bytes",,,,,,,,,
,,212E,,,U16,1,,,,RW,白名单4，中2字节,"Whitelist 4, middle 2 bytes",,,,,,,,,
,,212F,,,U16,1,,,,RW,白名单4，低2字节,"Whitelist 4, low 2 bytes",,,,,,,,,
PLC复位,PLC Reset,2130 ,,PLC_Reset,U16,1,,,,W,"CCO独有属性,只可写，1-表示模块复位
读取无意义返回数据0","CCO unique attribute, write only, 1 - indicates module reset
Read meaningless return data 0",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ⅴ Compatible with shared data areas(0x4E20-0x4FFF),,,,,,,,,,,,,,,,,,,,,
协议生效版本,Versions of the agreement in force,4E20,,VersionType,U16,,,0,1,RW,"协议生效版本：
0：3代MODBUS;
1：4代MODBUS；","Protocol version in force:
0: 3 generation MODBUS.
1: Generation 4 MODBUS;",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ⅵ DCDC data area(0x5000-0x5FFF),,,,,,,,,,,,,,,,,,,,,
,,5000 -- 5003,,addressmask_dcdc_sysinfo,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for the 64 register address words starting at this address.
Refer to the description of address 0x0040",,00000000,0000000F,,,,,,
DCDC版本号信息,DCDC Version Number Information,5004,,dcdc_arm_to_inv_485_ver,U16,,,,,R,ARM对逆变器485协议版本,ARM to inverter 485 protocol version,,,,,,,,,
,,5005,,dcdc_dsp_to_inv_can_ver,U16,,,,,R,DSP对逆变器CAN协议版本,DSP to inverter CAN protocol version,,,,,,,,,
,,5006,,dcdc_arm_to_dsp_232_ver,U16,,,,,R,ARM对DSP内部232协议版本,ARM to DSP internal 232 protocol version,,,,,,,,,
,,5007,,dcdc_dsp_to_arm_232_ver,U16,,,,,R,DSP对ARM内部232协议版本,DSP to ARM internal 232 protocol version,,,,,,,,,
,,5008,,dcdc_arm_to_bms_can_ver,U16,,,,,R,ARM对电池CAN协议版本,ARM to battery CAN protocol version,,,,,,,,,
,,5009,,dcdc_dsp_to_bms_can_ver,U16,,,,,R,DSP对电池CAN协议版本,DSP to battery CAN protocol version,,,,,,,,,
,,500A,,dcdc_module_485_ver,U16,,,,,R,DCDC模块间485协议版本,DCDC inter-module 485 protocol version,,,,,,,,,
,,500B -- 500E,,dcdc_arm_app_software_ver0 -- 3,ASCII,,,,,R,ARM app软件版本0-3（4个，8位ASCII）,"ARM app software versions 0-3 (4, 8-bit ASCII)",,,,,,,,,
,,500F -- 5010,,dcdc_arm_hardware_ver0 -- 1,ASCII,,,,,R,ARM 硬件版本0-1（2个，4位ASCII）,"ARM hardware version 0-1 (2, 4-bit ASCII)",,,,,,,,,
,,5011 -- 5014,,dcdc_arm_boot_software_ver0 -- 3,ASCII,,,,,R,ARM bootloader软件版本0-3（4个，8位ASCII）,"ARM bootloader software versions 0-3 (4, 8-bit ASCII)",,,,,,,,,
,,5015,,dcdc_arm_core,ASCII,,,,,R,ARM芯片代码（2位ASCII）,"ARM Chip Code (2, 2-bit ASCII)",,,,,,,,,
